囪	［囪-囱］
㨫	［㩜-㨫］
㩳	［㩳-㧐］
𪮶	［攋-𪮶］
𫛤	［鴐-𫛤］
𫐋	［𨎌-𫐋］
㧰	［擽-㧰］
𢹿	［𢹿-𢬦］
𢬦	［𢹿-𢬦］
𢶒	［𢶒-𪭯］
𪭢	［摐-𪭢］
𪭧	［擟-𪭧］
𪭯	［𢶒-𪭯］
掚	［掚-𪭵］
𪭵	［掚-𪭵］
𢷮	［𢷮-𢫊］
㩋	［㩋-𪮋］
𢫊	［𢷮-𢫊］
𪮋	［㩋-𪮋］
摋	［摋-𢫬］
𢫬	［摋-𢫬］
𢫞	［𢶫-𢫞］
掙	［掙-挣］
㧐	［㩳-㧐］
𪮖	［撧-𪮖］
𪭝	［𢯷-𪭝］
贉	［贉-𫎫］
𫎫	［贉-𫎫］
㻘	［𤪺-㻘］
𤳸	［𤳸-𤳄］
瑸	［璸-瑸］
𫎩	［賝-𫎩］
𤳄	［𤳸-𤳄］
𤪺	［𤪺-㻘］
𧶧	［𧶧-䞎］
䞎	［𧶧-䞎］
𫞧	［𤩂-𫞧］
䝼	［䝼-䞍］
䞍	［䝼-䞍］
𫞩	［璊-𫞩］
𪻨	［瓄-𪻨］
𧹑	［䞈-𧹑］
䝻	［䝻-𧹕］
𧹕	［䝻-𧹕］
𧵳	［𧵳-䞌］
䞌	［𧵳-䞌］
珼	［珼-𫞥］
𫞥	［珼-𫞥］
𧹈	［𧹈-𪥠］
𪥠	［𧹈-𪥠］
賟	［賟-𧹖］
𧹖	［賟-𧹖］
䞋	［䞋-𫎪］
𫎪	［䞋-𫎪］
𫞦	［璾-𫞦］
𪄕	［𪄕-𪉒］
𪉒	［𪄕-𪉒］
𫞨	［璼-𫞨］
贚	［贚-𫎦］
𫎦	［贚-𫎦］
𪉐	［𪃍-𪉐］
瑽	［瑽-𪻐］
𪻲	［瑻-𪻲］
𫐊	［軬-𫐊］
璼	［璼-𫞨］
𪠡	［𠬙-𪠡］
𩒎	［𩒎-𫖭］
𫖭	［𩒎-𫖭］
𧹓	［𧶔-𧹓］
贃	［贃-𧹗］
𧹗	［贃-𧹗］
𪻺	［璝-𪻺］
䝭	［䝭-𫎧］
𫎧	［䝭-𫎧］
璯	［璯-㻅］
𪻐	［瑽-𪻐］
𫎨	［𧸘-𫎨］
㻅	［璯-㻅］
瓄	［瓄-𪻨］
𪼋	［㻶-𪼋］
㻶	［㻶-𪼋］
𤩂	［𤩂-𫞧］
䞈	［䞈-𧹑］
㻏	［𤫩-㻏］
𫛚	［鳽-𫛚］
㓰	［劃-划㓰］
𪉌	［𪁖-𪉌］
𠛅	［剾-𠛅］
𨤻	［𨤻-𨤰］
𢣭	［𢣭-𢘞］
謆	［謆-𫍸］
𫍸	［謆-𫍸］
𫟢	［䜖-𫟢］
𫍣	［詷-𫍣］
𫍽	［譞-𫍽］
誴	［誴-𫟡］
𫟡	［誴-𫟡］
𫍾	［𧭈-𫍾］
𫍡	［詑-𫍡］
𫍬	［誷-𫍬］
𫍦	［譨-𫍦］
𧩙	［𧩙-䜥］
䜥	［𧩙-䜥］
𫎬	［贑-𫎬］
𫍵	［謸-𫍵］
𪅂	［𪅂-𫜂］
𫜂	［𪅂-𫜂］
䜩	［讌-䜩］
䛄	［䛄-𫍠］
𫍠	［䛄-𫍠］
𫍮	［誳-𫍮］
𫍺	［𧫝-𫍺］
𧫝	［𧫝-𫍺］
𫍰	［諰-𫍰］
竱	［竱-𫁟］
𫍨	［誫-𫍨］
𫍶	［𧩼-𫍶］
𫍝	［諫-谏𫍝］
𧬤	［𧬤-𫍼］
𫍼	［𧬤-𫍼］
𫍭	［𧩕-𫍭］
𫍻	［譆-𫍻］
䜧	［䜀-䜧］
䜀	［譅↝䜀-䜧］
𫍯	［諴-𫍯］
𫍢	［譊-𫍢］
𫍹	［謯-𫍹］
鴗	［鴗-𫁡］
𫁡	［鴗-𫁡］
𪉃	［鳼-𪉃］
訨	［訨-𫟞］
𫟞	［訨-𫟞］
𫍧	［誺-𫍧］
䛳	［䛳-𫍫］
𫍫	［䛳-𫍫］
謱	［謱-𫍴］
𫍩	［諣-𫍩］
諥	［諥-𫍳］
𫍳	［諥-𫍳］
𫍤	［譑-𫍤］
譑	［譑-𫍤］
𫍚	［訞-𫍚］
𫍞	［𧦝-𫍞］
𫍷	［謉-𫍷］
𧮪	［詀-𧮪］
𫍟	［𧦧-𫍟］
𫍥	［誂-𫍥］
諯	［諯-𫍱］
𫍱	［諯-𫍱］
詓	［詓-𫍜］
𫍜	［詓-𫍜］
𫍴	［謱-𫍴］
𫍲	［謏-𫍲］
𫍿	［譾-谫𫍿］
詊	［詊-𫟟］
𫟟	［詊-𫟟］
𫟠	［譂-𫟠］
訜	［訜-𫍛］
𫍛	［訜-𫍛］
𫁟	［竱-𫁟］
鵉	［鵉↦鸾］
𪔭	［𪔵-𪔭］
𫍙	［訑-𫍙］
𫍪	［誋-𫍪］
䦂	［䥇-䦂］
䥯	［䥯-𫔆］
䥾	［䥱-䥾］
𫓭	［鉠-𫓭］
錝	［錝-𫓽］
𫓽	［錝-𫓽］
𫔊	［鏥-𫔊］
𫔆	［䥯-𫔆］
鍉	［鍉-𫔂］
𫔂	［鍉-𫔂］
𨱑	［鐄-𨱑］
𨭆	［𨭆-𬭶］
鎍	［鎍-𫔅］
𫔅	［鎍-𫔅］
𫔁	［鐼-𫔁］
鉷	［鉷-𫟹］
𫟹	［鉷-𫟹］
䦃	［鐯-䦃］
鏾	［鏾-𫔌］
𫔌	［鏾-𫔌］
鎝	［鎝-𨱏］
𨱏	［鎝-𨱏］
鑉	［鑉-𫠁］
𨧜	［𨧜-䦁］
䦁	［𨧜-䦁］
𫠁	［鑉-𫠁］
鈯	［鈯-𨱄］
𨱄	［鈯-𨱄］
䥽	［鏺-䥽］
𩿪	［𩿪-𪉄］
𪉄	［𩿪-𪉄］
𪆷	［𪆷-𫛾］
𫛾	［𪆷-𫛾］
鈅	［鑰鈅-钥］
鎯	［鎯-𨱍］
𨱍	［鎯-𨱍］
𨧱	［𨧱-𨱊］
𨱊	［𨧱-𨱊］
钁	［钁-镢䦆‒钁鐝-镢］
䦆	［钁-镢䦆］
𨮂	［𨮂-𨱕］
𨱕	［𨮂-𨱕］
𨬖	［𨬖-𫔏］
𫔏	［𨬖-𫔏］
𫔇	［鎞-𫔇］
𨦫	［𨦫-䦀］
䦀	［𨦫-䦀］
𨫒	［𨫒-𨱐］
𨱐	［𨫒-𨱐］
䥺	［釾-䥺］
𪉅	［𪀦-𪉅］
𨮳	［𨮳-𫔒］
𫔒	［𨮳-𫔒］
𨰃	［𨰃-𫔉］
𫔉	［𨰃-𫔉］
𫓴	［鉾-𫓴］
𫟵	［鈗-𫟵］
鋠	［鋠-𫓵］
𫓵	［鋠-𫓵］
鎶	［鎶-鿔］
𨥛	［𨥛-𨱀］
𨱀	［𨥛-𨱀］
𨱇	［銶-𨱇］
𩓥	［𩓥-𫖵］
𫖵	［𩓥-𫖵］
𥏝	［𥏝-𪿊］
𪿊	［𥏝-𪿊］
𫓸	［錽-𫓸］
𫓬	［鉔-𫓬］
㜷	［㜷-𡝠］
𨭖	［𨭖-𫔑］
𫔑	［𨭖-𫔑］
𫟶	［銏-𫟶］
鉝	［鉝-𫟷］
𫟷	［鉝-𫟷］
𨭎	［𨭎-𬭳］
鍄	［鍄-𨱉］
𨱉	［鍄-𨱉］
𨭸	［𨭸-𫔐］
𫔐	［𨭸-𫔐］
𫔎	［鐍-𫔎］
鉽	［鉽-𫟸］
𫟸	［鉽-𫟸］
𫓨	［鈛-𫓨］
𨟊	［𨟊-𫟬］
銊	［銊-𫓰］
𫓰	［銊-𫓰］
𫔄	［鍒-𫔄］
龯	［龯-𨱆］
𨱆	［龯-𨱆］
𫔃	［𨰲-𫔃］
𨱁	［鈠-𨱁］
鎈	［鎈-𫟿］
𫟿	［鎈-𫟿］
𫓺	［鐪-𫓺］
䤤	［䤤-𫟺］
𫟺	［䤤-𫟺］
鎷	［鎷-𨰾］
𨰾	［鎷-𨰾］
鐥	［鐥-䦅］
䦅	［鐥-䦅］
𨱓	［鐎-𨱓］
𨩰	［𨩰-𫟾］
𫟾	［𨩰-𫟾］
䥩	［䥩-𨱖］
𨱖	［䥩-𨱖］
𫔀	［鍊-炼链𫔀］
鋉	［鋉-𨱈］
𨱒	［鏉-𨱒］
𨱈	［鋉-𨱈］
𨧀	［𨧀-𬭊］
𫓧	［鈇-𫓧］
鏆	［鏆-𨱌］
𨱌	［鏆-𨱌］
𫟼	［鐽-𫟼］
錼	［~錼鎿-镎］
𫓦	［釨-𫓦］
𫓶	［鋗-𫓶］
鈡	［鈡↦钟］
𠬙	［𠬙-𪠡］
𫓲	［銁-𫓲］
𨪕	［𨪕-𫓮］
𫟲	［釚-𫟲］
𫓱	［鐈-𫓱］
鐈	［鐈-𫓱］
𨧰	［𨧰-𫟽］
𫟽	［𨧰-𫟽］
𫖹	［顣-𫖹］
𨰋	［𨰋-𫓳］
𫒡	［𫒡-𫓷］
𫓷	［𫒡-𫓷］
𫓳	［𨰋-𫓳］
𨰿	［釳-𨰿］
𨱎	［鍮-𨱎］
錀	［錀-𬬭］
𫓩	［鏦-𫓩］
鈋	［鈋-𨱂］
𨱂	［鈋-𨱂］
𡝠	［㜷-𡝠］
𫓮	［𨪕-𫓮］
𨱅	［鉁-𨱅］
錜	［錜-𫓻］
𫓻	［錜-𫓻］
𨨏	［𨨏-𬭛］
銂	［銂-𫟻］
𫟻	［銂-𫟻］
鍅	［~鍅鈁-钫］
𨯅	［𨯅-䥿］
䥄	［䥄-𫠀］
𫠀	［䥄-𫠀］
䥿	［𨯅-䥿］
𫔔	［鑴-𫔔］
鐽	［鐽-𫟼］
䥗	［䥗-𫔋］
𫔋	［䥗-𫔋］
銈	［銈-𫓯］
𫓯	［銈-𫓯］
錂	［錂-𨱋］
𨱋	［錂-𨱋］
錤	［錤-𫓹］
𫓹	［錤-𫓹］
𨱃	［鈲-𨱃］
𨰥	［𨰥-𫔕］
𫔕	［𨰥-𫔕］
䥑	［䥑-鿏］
𨨛	［𨨛-𫓼］
𫓼	［𨨛-𫓼］
𪟎	［㔋-𪟎］
鉳	［~鉳錇-锫］
釟	［釟-𫓥］
𫓥	［釟-𫓥］
𫔈	［鎙-𫔈］
𫓪	［鈆-𫓪］
𨥟	［𨥟-𫓫］
𫓫	［𨥟-𫓫］
鈖	［鈖-𫟴］
𫟴	［鈖-𫟴］
鐏	［鐏-𨱔］
𨱔	［鐏-𨱔］
錥	［錥-𫓾］
𫓾	［錥-𫓾］
𨨢	［𨨢-𫓿］
𫓿	［𨨢-𫓿］
𨯟	［𨯟-𫔓］
𫔓	［𨯟-𫔓］
鑀	［~鑀鎄-锿］
鐇	［鐇-𫔍］
𫔍	［鐇-𫔍］
𫟳	［釲-𫟳］
𩧻	［𩣵-𩧻］
𩼶	［𩼶-𫚬］
𫚬	［𩼶-𫚬］
𧉞	［䗿-𧉞］
𩧲	［駧-𩧲］
𫜅	［䴋-𫜅］
䮝	［䮝-𩧰］
𩧰	［䮝-𩧰］
𩽼	［鯶-𩽼］
駚	［駚-𩧫］
𩧫	［駚-𩧫］
䱀	［䱀-𫚐］
𫚐	［䱀-𫚐］
䯃	［𩣑-䯃］
鮟	［鮟-𩽾］
𩽾	［鮟-𩽾］
鮰	［鮰-𫚔］
𫚔	［鮰-𫚔］
𩶱	［𩶱-𩽽］
𩽽	［𩶱-𩽽］
𩦠	［𩦠-𫠌］
𫠌	［𩦠-𫠌］
䗿	［䗿-𧉞］
𩢡	［𩢡-𩧬］
𩧬	［𩢡-𩧬］
𤘼	［`𤘞𤘟𤘼］
𫚦	［鰫-𫚦］
𤘟	［`𤘞𤘟𤘼］
𫛣	［鴥-𫛣］
𪺻	［㺜-𪺻］
騴	［騴-𫘫］
𫘫	［騴-𫘫］
𩥑	［𩥑-𩨌］
𩨌	［𩥑-𩨌］
𫘩	［騜-𫘩］
鰑	［鰑-𫚊］
𫘣	［駻-𫘣］
𫘨	［騠-𫘨］
𩨀	［騔-𩨀］
騉	［騉-𫘥］
𫘥	［騉-𫘥］
羵	［羵-𫅗］
𫅗	［羵-𫅗］
䮞	［䮞-𩨁］
𩨁	［䮞-𩨁］
䲠	［鰆-䲠］
鰆	［鰆-䲠］
𩥄	［𩥄-𩨋］
𩨋	［𩥄-𩨋］
𩾂	［䲖-𩾂］
𩻮	［𩻮-𫚘］
鮕	［鮕-𩾀］
𩾀	［鮕-𩾀］
𩧯	［驋-𩧯］
鰦	［鰦-𫚤］
𩶰	［𩶰-𩽿］
𩽿	［𩶰-𩽿］
𩨍	［𩥇-𩨍］
䯀	［䯀-䯅］
𫘟	［駊-𫘟］
𩽇	［𩽇-𩾎］
𩾎	［𩽇-𩾎］
𫚥	［鰕-𫚥］
䯅	［䯀-䯅］
鮿	［鮿-𫚚］
駶	［駶-𩧺］
𩧺	［駶-𩧺］
𫚚	［鮿-𫚚］
𫚉	［魟-𫚉］
𫛞	［鴃-𫛞］
𫘝	［駃-𫘝］
龭	［龭-𩨎］
𩨎	［龭-𩨎］
𩨅	［𩤸-𩨅］
𫘤	［騃-𫘤］
𫛭	［鵟-𫛭］
𩸄	［𩸄-𫚝］
𫚝	［𩸄-𫚝］
𩧨	［駎-𩧨］
𩶁	［𩶁-𫚎］
𫚎	［𩶁-𫚎］
𫚢	［鰋-𫚢］
𫚧	［鰽-𫚧］
𩧩	［𩤊-𩧩］
𫞣	［㹽-𫞣］
䶮	［龑-䶮］
䮠	［䮠-𩧿］
𩧿	［䮠-𩧿］
𫚙	［鯆-𫚙］
𩾁	［鯄-𩾁］
𫘠	［駤-𫘠］
𤞤	［玁-𤞤］
𫚈	［鱮-𫚈］
䮰	［䮰-𫘮］
𫘮	［䮰-𫘮］
𫘰	［驙-𫘰］
鱆	［鱆-𫠒］
𫠒	［鱆-𫠒］
㺜	［㺜-𪺻］
𩤙	［𩤙-𩨆］
𩨆	［𩤙-𩨆］
𩶘	［𩶘-䲞］
䲞	［𩶘-䲞］
𩻗	［𩻗-𫚨］
𫚨	［𩻗-𫚨］
𩸡	［𩸡-𫚟］
𫚟	［𩸡-𫚟］
𫘜	［馼-𫘜］
䮄	［䮄-𫠊］
𫠊	［䮄-𫠊］
𩻬	［𩻬-𫚩］
𫚩	［𩻬-𫚩］
鱊	［鱊-𫚪］
𫚪	［鱊-𫚪］
𠞆	［𠞆-𠛆］
𠛆	［𠞆-𠛆］
𫘛	［馯-𫘛］
𫚕	［鰤-𫚕］
𩤊	［𩤊-𩧩］
㹽	［㹽-𫞣］
𫚒	［鮄-𫚒］
鮄	［鮄-𫚒］
𤘞	［`𤘞𤘟𤘼］
蠦	［蠦-𫊮］
鯱	［鯱-𩾇］
𩾇	［鯱-𩾇］
𫛟	［鸗-𫛟］
𪉓	［𪈼-𪉓］
騼	［騼-𫠋］
𩧪	［䮾-𩧪］
𫠋	［騼-𫠋］
𤜆	［𤜆-𪺪］
𪺪	［𤜆-𪺪］
𫋇	［蟂-𫋇］
鮸	［鮸-𩾃］
𩾃	［鮸-𩾃］
騄	［騄-𫘧］
𫘧	［騄-𫘧］
𩸃	［𩸃-𩾅］
𩾅	［𩸃-𩾅］
䲣	［䱷-䲣］
䱬	［䱬-𩾊］
𩾊	［䱬-𩾊］
驋	［驋-𩧯］
𩀨	［𩀨-𫕚］
𩢸	［𩢸-𩧳］
𩧳	［𩢸-𩧳］
𫚏	［䱁-𫚏］
𩤲	［𩤲-𩨉］
𩨉	［𩤲-𩨉］
𩵦	［𩵦-𫠏］
𫠏	［𩵦-𫠏］
𧳕	［𧳟-𧳕］
𩣺	［𩣺-𩧼］
𩧼	［𩣺-𩧼］
䱁	［䱁-𫚏］
䲅	［䲅-𫚜］
𫚜	［䲅-𫚜］
𩵩	［𩵩-𩽺］
𩽺	［𩵩-𩽺］
㺏	［㺏-𤠋］
𫘭	［騻-𫘭］
𫚫	［鱢-𫚫］
𧔥	［𧔥-𧒭］
𧒭	［𧔥-𧒭］
𤠮	［𤠮-𪺸］
䱰	［䱰-𩾋］
𩾋	［䱰-𩾋］
䭿	［䭿-𩧭］
𩧭	［䭿-𩧭］
𫊸	［蟜-𫊸］
𪺭	［犞-𪺭］
蟜	［蟜-𫊸］
犞	［犞-𪺭］
騊	［騊-𫘦］
𫘦	［騊-𫘦］
魥	［魥-𩽹］
𩽹	［魥-𩽹］
𫊮	［蠦-𫊮］
𩾈	［䱙-𩾈］
𫚑	［鮅-𫚑］
𫘞	［駞-𫘞］
獊	［獊-𪺷］
𧒯	［𧒯-𫊹］
騟	［騟-𩨈］
𩨈	［騟-𩨈］
䳧	［䳧-𫛺］
𫛺	［䳧-𫛺］
𩧴	［駩-𩧴］
𫚣	［鯾-𫚣］
𫋌	［蟘-𫋌］
𩡺	［𩡺-𩧦］
𩧦	［𩡺-𩧦］
鮯	［鮯-𫚗］
𫚗	［鮯-𫚗］
𫎆	［豵-𫎆］
𫕚	［𩀨-𫕚］
𫚘	［𩻮-𫚘］
𫊹	［𧒯-𫊹］
𪺸	［𤠮-𪺸］
狰	［猙-狰］
𪺷	［獊-𪺷］
䲝	［䱽-䲝］
𩸦	［𩸦-𩾆］
𩾆	［𩸦-𩾆］
𩧆	［𩧆-𩨐］
𩨐	［𩧆-𩨐］
鱲	［鱲-𫚭］
𫚭	［鱲-𫚭］
騵	［騵-𫘪］
𫘪	［騵-𫘪］
𫑡	［鄳-𫑡］
𫘱	［驨-𫘱］
𩧵	［𩢴-𩧵］
兔	［兎兔⇀兔］
鱇	［鱇-𩾌］
𩾌	［鱇-𩾌］
䲖	［䲖-𩾂］
𩧱	［𩥉-𩧱］
𫠐	［魽-𫠐］
𪇳	［𪇳-𪉕］
𪉕	［𪇳-𪉕］
𩨇	［䮫-𩨇］
𤠋	［㺏-𤠋］
𫎌	［貗-𫎌］
𩨄	［騪-𩨄］
𫠑	［䱸-𫠑］
𫘯	［驓-𫘯］
騚	［騚-𩨊］
𩨊	［騚-𩨊］
𫚍	［魵-𫚍］
䱧	［䱧-𫚠］
𫚠	［䱧-𫚠］
𩨂	［驄-骢𩨂］
鮵	［鮵-𫚛］
𫚛	［鮵-𫚛］
䲡	［鰌-䲡］
𩵹	［𩵹-𩽻］
𩽻	［𩵹-𩽻］
𫚤	［鰦-𫚤］
𫚋	［鱄-𫚋］
𫚌	［魦-𫚌］
駫	［駫-𫘡］
𫘡	［駫-𫘡］
鯞	［鯞-𫚡］
𫚡	［鯞-𫚡］
𫊻	［蟳-𫊻］
蟳	［蟳-𫊻］
𩨏	［䮳-𩨏］
騝	［騝-𩨃］
𩨃	［騝-𩨃］
猙	［猙-狰］
𫘬	［騱-𫘬］
鮣	［鮣-䲟］
䲟	［鮣-䲟］
䗅	［䗅-𫊪］
𫊪	［䗅-𫊪］
𩷰	［𩷰-𩾄］
𩾄	［𩷰-𩾄］
𫚊	［鰑-𫚊］
𨅍	［𨅍-𨁴］
𨁴	［𨅍-𨁴］
𨏥	［𨏥-𨐊］
𨐊	［𨏥-𨐊］
𫏑	［𨇽-𫏑］
𨅬	［躝-𨅬］
軜	［軜-𫐇］
𫐇	［軜-𫐇］
𫐑	［輨-𫐑］
𫐏	［輖-𫐏］
䡐	［䡐-𫟤］
𫟤	［䡐-𫟤］
𨇽	［𨇽-𫏑］
䑽	［𦪙-䑽］
𫐕	［轊-𫐕］
𫟥	［䡩-𫟥］
𨎮	［𨎮-𨐉］
𨐉	［𨎮-𨐉］
𫏆	［蹳-𫏆］
𨊸	［𨊸-䢁］
䢁	［𨊸-䢁］
轇	［轇-𫐖］
𫐖	［轇-𫐖］
𨌈	［𨌈-𫐍］
𫐍	［𨌈-𫐍］
軷	［軷-𫐈］
𫐈	［軷-𫐈］
𫐙	［轠-𫐙］
䟃	［䟃-𫎺］
𫎺	［䟃-𫎺］
𨊻	［𨊻-𨐆］
𨐆	［𨊻-𨐆］
䳫	［䳫-𫛼］
𫛼	［䳫-𫛼］
𫐄	［軏-𫐄］
躎	［躎-䟢］
𨋢	［𨋢-䢂］
䢂	［𨋢-䢂］
𨂺	［𨈊-𨂺］
𨄄	［𨈌-𨄄］
𨈊	［𨈊-𨂺］
𨈌	［𨈌-𨄄］
軔	［軔⇀軔］
𪮃	［㨻-𪮃］
𫐘	［轗-𫐘］
𫏐	［蹔-𫏐］
輮	［輮-𫐓］
𫐓	［輮-𫐓］
軗	［軗-𨐅］
𨐅	［軗-𨐅］
𪀾	［𪀾-𪉋］
𪉋	［𪀾-𪉋］
𨇞	［𨇞-𨅫］
𨇤	［𨇤-𫏨］
𫏨	［𨇤-𫏨］
徿	［徿-𪫌］
𨏠	［𨏠-𨐇］
𨐇	［𨏠-𨐇］
𪫌	［徿-𪫌］
𦪽	［𦪽-𦨩］
𦨩	［𦪽-𦨩］
𩣏	［𩣏-𩧶］
𩧶	［𩣏-𩧶］
𧽯	［𧽯-𫎸］
𫎸	［𧽯-𫎸］
𨂐	［𨂐-𫏌］
𫏌	［𨂐-𫏌］
輢	［輢-𫐎］
𫐎	［輢-𫐎］
𫐒	［輷-𫐒］
𫏋	［蹻-𫏋］
𨊰	［𨊰-䢀］
